Corp ID,Corp Name,County,Corp Grade 2014,Corp Grade 2015,2015 Hold Harmless Grade
1820,Garrett-Keyser-Butler Com,Dekalb,B,D,B
1835,DeKalb Co Ctl United Sch Dist,Dekalb,A,C,A
1875,Delaware Community School Corp,Delaware,A,A,A
1885,Wes-Del Community Schools,Delaware,B,D,B
1895,Liberty-Perry Com School Corp,Delaware,A,A,A
1900,Cowan Community School Corp,Delaware,A,B,A
1910,Yorktown Community Schools,Delaware,A,B,A
1940,Daleville Community Schools,Delaware,A,D,A
1970,Muncie Community Schools,Delaware,C,D,C
2040,Northeast Dubois Co Sch Corp,Dubois,A,A,A
2100,Southeast Dubois Co Sch Corp,Dubois,A,B,A
2110,Southwest Dubois Co Sch Corp,Dubois,A,C,A
2120,Greater Jasper Con Schs,Dubois,A,B,A
2155,Fairfield Community Schools,Elkhart,A,C,A
2260,Baugo Community Schools,Elkhart,B,C,B
2270,Concord Community Schools,Elkhart,C,D,C
2275,Middlebury Community Schools,Elkhart,A,B,A
2285,Wa-Nee Community Schools,Elkhart,A,A,A
2305,Elkhart Community Schools,Elkhart,B,D,B
2315,Goshen Community Schools,Elkhart,B,C,B
2395,Fayette County School Corp,Fayette,A,B,A
2400,New Albany-Floyd Co Con Sch,Floyd,A,A,A
2435,Attica Consolidated Sch Corp,Fountain,C,D,C
2440,Covington Community Sch Corp,Fountain,A,B,A
2455,Southeast Fountain School Corp,Fountain,C,C,C
2475,Franklin County Com Sch Corp,Franklin,B,C,B
2645,Rochester Community Sch Corp,Fulton,B,C,B
2650,Caston School Corporation,Fulton,C,C,C
2725,East Gibson School Corporation,Gibson,C,D,C
2735,North Gibson School Corp,Gibson,B,D,B
2765,South Gibson School Corp,Gibson,A,C,A
2815,Eastbrook Community Sch Corp,Grant,B,C,B
2825,Madison-Grant United Sch Corp,Grant,C,D,C
2855,Mississinewa Community School Corp,Grant,C,D,C
2865,Marion Community Schools,Grant,B,D,B
2920,Bloomfield School District,Greene,A,C,A
2940,Eastern Greene Schools,Greene,A,B,A
2950,Linton-Stockton School Corp,Greene,A,B,A
2960,M S D Shakamak Schools,Greene,B,D,B
2980,White River Valley Sch Dist,Greene,B,C,B
3005,Hamilton Southeastern Schools,Hamilton,A,A,A
3025,Hamilton Heights School Corp,Hamilton,B,B,B
3030,Westfield-Washington Schools,Hamilton,A,B,A
3055,Sheridan Community Schools,Hamilton,B,C,B
3060,Carmel Clay Schools,Hamilton,A,A,A
3070,Noblesville Schools,Hamilton,A,A,A
3115,Southern Hancock Co Com Sch Corp,Hancock,A,B,A
3125,Greenfield-Central Com Schools,Hancock,A,C,A
3135,Mt Vernon Community Sch Corp,Hancock,A,B,A
3145,Eastern Hancock Co Com Sch Corp,Hancock,A,B,A
3160,Lanesville Community School Corp,Harrison,A,B,A
3180,North Harrison Com School Corp,Harrison,A,A,A
3190,South Harrison Com Schools,Harrison,A,C,A
3295,North West Hendricks Schools,Hendricks,A,A,A
3305,Brownsburg Community Sch Corp,Hendricks,A,A,A
3315,Avon Community School Corp,Hendricks,A,A,A
3325,Danville Community School Corp,Hendricks,A,C,A
3330,Plainfield Community Sch Corp,Hendricks,A,A,A
3335,Mill Creek Community Sch Corp,Hendricks,A,B,A
3405,Blue River Valley Schools,Henry,C,D,C
3415,South Henry School Corp,Henry,A,D,A
3435,Shenandoah School Corporation,Henry,A,A,A
3445,New Castle Community Sch Corp,Henry,B,D,B
3455,C A Beard Memorial School Corp,Henry,C,D,C
3460,Taylor Community School Corp,Howard,C,C,C
3470,Northwestern School Corp,Howard,B,C,B
3480,Eastern Howard School Corp,Howard,A,C,A
3490,Western School Corp,Howard,A,B,A
3500,Kokomo School Corporation,Howard,D,D,D
3625,Huntington Co Com Sch Corp,Huntington,B,C,B
3640,Medora Community School Corp,Jackson,D,D,D
3675,Seymour Community Schools,Jackson,A,D,A
3695,Brownstown Cnt Com Sch Corp,Jackson,A,D,A
3710,Crothersville Community Schools,Jackson,B,B,B
3785,Kankakee Valley School Corp,Jasper,A,B,A
3815,Rensselaer Central School Corp,Jasper,B,C,B
3945,Jay School Corp,Jay,A,C,A
3995,Madison Consolidated Schools,Jefferson,C,D,C
4000,Southwestern-Jefferson Co Con,Jefferson,B,D,B
4015,Jennings County Schools,Jennings,B,C,B
4145,Clark-Pleasant Com School Corp,Johnson,A,C,A
4205,Center Grove Com Sch Corp,Johnson,A,A,A
4215,Edinburgh Community Sch Corp,Johnson,C,D,C
4225,Franklin Community School Corp,Johnson,A,C,A
4245,Greenwood Community Sch Corp,Johnson,A,B,A
4255,Nineveh-Hensley-Jackson United,Johnson,A,C,A
4315,North Knox School Corp,Knox,A,C,A
4325,South Knox School Corp,Knox,A,A,A
4335,Vincennes Community Sch Corp,Knox,A,C,A
4345,Wawasee Community School Corp,Kosciusko,B,C,B
4415,Warsaw Community Schools,Kosciusko,B,B,B
4445,Tippecanoe Valley School Corp,Kosciusko,C,D,C
4455,Whitko Community School Corp,Whitley,B,D,B
4515,Prairie Heights Com Sch Corp,LaGrange,A,A,A
4525,Westview School Corporation,LaGrange,B,A,A
4535,Lakeland School Corporation,LaGrange,C,C,C
4580,Hanover Community School Corp,Lake,A,C,A
4590,River Forest Community Sch Corp,Lake,C,F,C
4600,Merrillville Community School,Lake,B,C,B
4615,Lake Central School Corp,Lake,A,C,A
4645,Tri-Creek School Corporation,Lake,A,B,A
4650,Lake Ridge Schools,Lake,C,D,C
4660,Crown Point Community Sch Corp,Lake,A,A,A
4670,School City of East Chicago,Lake,D,F,D
4680,Lake Station Community Schools,Lake,B,C,B
4690,Gary Community School Corp,Lake,F,F,F
4700,Griffith Public Schools,Lake,B,C,B
4710,School City of Hammond,Lake,C,D,C
4720,School Town of Highland,Lake,A,A,A
4730,School City of Hobart,Lake,A,C,A
4740,School Town of Munster,Lake,A,A,A
4760,Whiting School City,Lake,B,C,B
4805,New Prairie United School Corp,LaPorte,B,C,B
4860,M S D of New Durham Township,LaPorte,C,D,C
4915,Tri-Township Cons School Corp,LaPorte,A,D,A
4925,Michigan City Area Schools,LaPorte,C,D,C
4940,South Central Com School Corp,LaPorte,A,B,A
4945,LaPorte Community School Corp,LaPorte,B,D,B
5075,North Lawrence Com Schools,Lawrence,B,D,B
5085,Mitchell Community Schools,Lawrence,C,D,C
5245,Frankton-Lapel Community Schs,Madison,A,D,A
5255,South Madison Com Sch Corp,Madison,A,B,A
5265,Alexandria Com School Corp,Madison,A,C,A
5275,Anderson Community School Corp,Madison,C,D,C
5280,Elwood Community School Corp,Madison,C,D,C
5300,M S D Decatur Township,Marion,C,D,C
5310,Franklin Township Com Sch Corp,Marion,A,C,A
5330,M S D Lawrence Township,Marion,A,C,A
5340,Perry Township Schools,Marion,A,C,A
5350,M S D Pike Township,Marion,C,D,C
5360,M S D Warren Township,Marion,C,D,C
5370,M S D Washington Township,Marion,B,C,B
5375,M S D Wayne Township,Marion,B,F,B
5380,Beech Grove City Schools,Marion,A,C,A
5385,Indianapolis Public Schools,Marion,D,F,D
5400,School Town of Speedway,Marion,A,A,A
5455,Culver Community Schools Corp,Marshall,A,D,A
5470,Argos Community Schools,Marshall,A,B,A
5480,Bremen Public Schools,Marshall,B,B,B
5485,Plymouth Community School Corp,Marshall,B,C,B
5495,Triton School Corporation,Marshall,B,C,B
5520,Shoals Community School Corp,Martin,B,D,B
5525,Loogootee Community Sch Corp,Martin,A,D,A
5615,Maconaquah School Corp,Miami,B,C,B
5620,North Miami Community Schools,Miami,B,D,B
5625,Oak Hill United School Corp,Miami,A,C,A
5635,Peru Community Schools,Miami,A,C,A
5705,Richland-Bean Blossom C S C,Monroe,B,B,B
5740,Monroe County Com Sch Corp,Monroe,A,A,A
5835,North Montgomery Com Sch Corp,Montgomery,B,B,B
5845,South Montgomery Com Sch Corp,Montgomery,B,C,B
5855,Crawfordsville Com Schools,Montgomery,B,C,B
5900,Monroe-Gregg School District,Morgan,B,D,B
5910,Eminence Community School Corp,Morgan,C,D,C
5925,M S D Martinsville Schools,Morgan,A,C,A
5930,Mooresville Con School Corp,Morgan,A,C,A
5945,North Newton School Corp,Newton,A,D,A
5995,South Newton School Corp,Newton,C,C,C
6055,Central Noble Com School Corp,Noble,B,D,B
6060,East Noble School Corp,Noble,C,C,C
6065,West Noble School Corporation,Noble,C,C,C
6080,Rising Sun-Ohio Co Com,Ohio,C,D,C
6145,Orleans Community Schools,Orange,B,C,B
6155,Paoli Community School Corp,Orange,C,D,C
6160,Springs Valley Com School Corp,Orange,B,C,B
6195,Spencer-Owen Community Schools,Owen,B,C,B
6260,Southwest Parke Com Sch Corp,Parke,C,F,C
6325,Perry Central Com Schools Corp,Perry,A,A,A
6340,Cannelton City Schools,Perry,D,F,D
6350,Tell City-Troy Twp School Corp,Perry,A,B,A
6375,North Central Parke Comm Schl Corp,Parke,C,D,C
6445,Pike County School Corp,Pike,C,D,C
6460,M S D Boone Township,Porter,B,C,B
6470,Duneland School Corporation,Porter,A,A,A
6510,East Porter County School Corp,Porter,A,C,A
6520,Porter Township School Corp,Porter,B,C,B
6530,Union Township School Corp,Porter,A,B,A
6550,Portage Township Schools,Porter,A,C,A
6560,Valparaiso Community Schools,Porter,A,B,A
6590,M S D Mount Vernon,Posey,B,C,B
6600,M S D North Posey Co Schools,Posey,A,C,A
6620,Eastern Pulaski Com Sch Corp,Pulaski,A,C,A
6630,West Central School Corp,Pulaski,B,D,B
6705,South Putnam Community Schools,Putnam,A,C,A
6715,North Putnam Community Schools,Putnam,A,C,A
6750,Cloverdale Community Schools,Putnam,A,D,A
6755,Greencastle Community Sch Corp,Putnam,B,D,B
6795,Union School Corporation,Randolph,C,D,C
6805,Randolph Southern School Corp,Randolph,C,D,C
6820,Monroe Central School Corp,Randolph,A,B,A
6825,Randolph Central School Corp,Randolph,A,D,A
6835,Randolph Eastern School Corp,Randolph,B,D,B
6865,South Ripley Com Sch Corp,Ripley,A,A,A
6895,Batesville Community Sch Corp,Ripley,A,B,A
6900,Jac-Cen-Del Community Sch Corp,Ripley,A,C,A
6910,Milan Community Schools,Ripley,A,C,A
6995,Rush County Schools,Rush,B,C,B
7150,John Glenn School Corporation,St Joseph,A,C,A
7175,Penn-Harris-Madison Sch Corp,St Joseph,A,A,A
7200,School City of Mishawaka,St Joseph,B,D,B
7205,South Bend Community Sch Corp,St Joseph,C,F,C
7215,Union-North United School Corp,St Joseph,B,D,B
7230,Scott County School District 1,Scott,B,F,B
7255,Scott County School District 2,Scott,B,D,B
7285,Shelby Eastern Schools,Shelby,C,D,C
7350,Northwestern Con School Corp,Shelby,A,B,A
7360,Southwestern Con Sch Shelby Co,Shelby,A,A,A
7365,Shelbyville Central Schools,Shelby,A,B,A
7385,North Spencer County Sch Corp,Spencer,A,A,A
7445,South Spencer County Sch Corp,Spencer,B,C,B
7495,Oregon-Davis School Corp,Starke,D,C,C
7515,North Judson-San Pierre Sch Corp,Starke,C,D,C
7525,Knox Community School Corp,Starke,B,D,B
7605,Fremont Community Schools,Steuben,A,C,A
7610,Hamilton Community Schools,Steuben,D,F,D
7615,M S D Steuben County,Steuben,B,C,B
7645,Northeast School Corp,Sullivan,C,C,C
7715,Southwest School Corp,Sullivan,A,A,A
7775,Switzerland County School Corp,Switzerland,A,D,A
7855,Lafayette School Corporation,Tippecanoe,C,D,C
7865,Tippecanoe School Corp,Tippecanoe,B,C,B
7875,West Lafayette Com School Corp,Tippecanoe,A,A,A
7935,Tri-Central Community Schools,Tipton,C,C,C
7945,Tipton Community School Corp,Tipton,C,D,C
7950,Union Co/Clg Corner Joint Sch Dist,Union,A,C,A
7995,Evansville Vanderburgh Sch Corp,Vanderburgh,C,D,C
8010,North Vermillion Com Sch Corp,Vermillion,B,D,B
8020,South Vermillion Com Sch Corp,Vermillion,A,C,A
8030,Vigo County School Corp,Vigo,B,C,B
8045,Manchester Community Schools,Wabash,C,D,C
8050,M S D Wabash County Schools,Wabash,B,D,B
8060,Wabash City Schools,Wabash,C,D,C
8115,M S D Warren County,Warren,A,B,A
8130,Warrick County School Corp,Warrick,A,A,A
8205,Salem Community Schools,Washington,B,D,B
8215,East Washington School Corp,Washington,B,C,B
8220,West Washington School Corp,Washington,B,D,B
8305,Nettle Creek School Corp,Wayne,B,C,B
8355,Western Wayne Schools,Wayne,C,D,C
8360,Centerville-Abington Com Schs,Wayne,B,C,B
8375,Northeastern Wayne Schools,Wayne,B,C,B
8385,Richmond Community Schools,Wayne,B,D,B
8425,Southern Wells Com Schools,Wells,C,D,C
8435,Northern Wells Com Schools,Wells,A,C,A
8445,M S D Bluffton-Harrison,Wells,B,D,B
8515,North White School Corp,White,C,D,C
8525,Frontier School Corporation,White,B,C,B
8535,Tri-County School Corp,White,B,D,B
8565,Twin Lakes School Corp,White,B,D,B
8625,Smith-Green Community Schools,Whitley,B,C,B
8665,Whitley Co Cons Schools,Whitley,A,B,A
