NAME,TOTALEXP,TOTAL EXP $
CLOVERDALE COMMUNITY SCHOOLS,13569,"$13,569,000.00"
CONCORD COMMUNITY SCHOOLS,53194,"$53,194,000.00"
COVINGTON COMMUNITY SCHOOL CORPORATION,9313,"$9,313,000.00"
COWAN COMMUNITY SCHOOL CORPORATION,7497,"$7,497,000.00"
CRAWFORD COUNTY COMMUNITY SCHOOL CORPORATION,17830,"$17,830,000.00"
CRAWFORDSVILLE COMMUNITY SCHOOLS,31331,"$31,331,000.00"
CROTHERSVILLE COMMUNITY SCHOOLS,6336,"$6,336,000.00"
CROWN POINT COMMUNITY SCHOOL CORPORATION,83765,"$83,765,000.00"
CULVER COMMUNITY SCHOOL CORPORATION,10883,"$10,883,000.00"
DALEVILLE COMMUNITY SCHOOLS,7839,"$7,839,000.00"
DANVILLE COMMUNITY SCHOOL CORPORATION,25398,"$25,398,000.00"
DECATUR COUNTY COMMUNITY SCHOOLS,21705,"$21,705,000.00"
DECATUR TOWNSHIP METROPOLITAN SCHOOL DISTRICT,68778,"$68,778,000.00"
DEKALB COUNTY CENTRAL UNITED SCHOOL DISTRICT,38129,"$38,129,000.00"
DEKALB COUNTY EASTERN COMMUNITY SCHOOL DISTRICT,32163,"$32,163,000.00"
DELAWARE COMMUNITY SCHOOL CORPORATION,24632,"$24,632,000.00"
DELPHI COMMUNITY SCHOOL CORPORATION,17057,"$17,057,000.00"
DUNELAND SCHOOL CORPORATION,61215,"$61,215,000.00"
EAST ALLEN COUNTY SCHOOLS,93490,"$93,490,000.00"
EAST GIBSON SCHOOL CORPORATION,9561,"$9,561,000.00"
EAST NOBLE SCHOOL CORPORATION,35404,"$35,404,000.00"
EAST PORTER COUNTY SCHOOL CORPORATION,24150,"$24,150,000.00"
EAST WASHINGTON SCHOOL CORPORATION,16017,"$16,017,000.00"
EASTBROOK COMMUNITY SCHOOL CORPORATION,14600,"$14,600,000.00"
EASTERN GREENE SCHOOLS,12552,"$12,552,000.00"
EASTERN HANCOCK COUNTY COMMUNITY SCHOOL CORPORATION,11971,"$11,971,000.00"
EASTERN PULASKI COMMUNITY SCHOOL CORPORATION,13418,"$13,418,000.00"
EASTERN-HOWARD COMMUNITY SCHOOL CORPORATION,13349,"$13,349,000.00"
EDINBURGH COMMUNITY SCHOOL CORPORATION,9069,"$9,069,000.00"
ELKHART COMMUNITY SCHOOLS,162091,"$162,091,000.00"
ELWOOD COMMUNITY SCHOOL CORPORATION,16350,"$16,350,000.00"
EMINENCE CONSOLIDATED SCHOOL CORPORATION,4848,"$4,848,000.00"
EVANSVILLE-VANDERBURGH SCHOOL CORPORATION,280644,"$280,644,000.00"
FAIRFIELD COMMUNITY SCHOOLS,20334,"$20,334,000.00"
FAYETTE COUNTY CONSOLIDATED SCHOOL CORPORATION,43283,"$43,283,000.00"
FLAT ROCK HAWCREEK SCHOOL CORPORATION,9256,"$9,256,000.00"
FORT WAYNE COMMUNITY SCHOOLS,379508,"$379,508,000.00"
FRANKFORT COMMUNITY SCHOOL DISTRICT,34027,"$34,027,000.00"
FRANKLIN COMMUNITY SCHOOL CORPORATION,53380,"$53,380,000.00"
FRANKLIN COUNTY COMMUNITY SCHOOL CORPORATION,28206,"$28,206,000.00"
FRANKLIN TOWNSHIP COMMUNITY SCHOOL CORPORATION,82106,"$82,106,000.00"
FRANKTON LAPEL COMMUNITY SCHOOL DISTRICT,26068,"$26,068,000.00"
FREMONT COMMUNITY SCHOOLS,15117,"$15,117,000.00"
FRONTIER CONSOLIDATED SCHOOL CORPORATION,7639,"$7,639,000.00"
GARRETT-KEYSER-BUTLER COMMUNITY SCHOOL CORPORATION,19807,"$19,807,000.00"
GARY COMMUNITY SCHOOL CORPORATION,96703,"$96,703,000.00"
GOSHEN COMMUNITY SCHOOLS,90989,"$90,989,000.00"
GREATER CLARK COUNTY SCHOOL DISTRICT,118281,"$118,281,000.00"
GREATER JASPER CONSOLIDATED SCHOOLS,39515,"$39,515,000.00"
GREENCASTLE  COMMUNITY SCHOOLS,21474,"$21,474,000.00"
GREENFIELD-CENTRAL COMMUNITY SCHOOLS,44990,"$44,990,000.00"
GREENSBURG COMMUNITY SCHOOLS,25778,"$25,778,000.00"
GREENWOOD COMMUNITY SCHOOL CORPORATION,34765,"$34,765,000.00"
GRIFFITH PUBLIC SCHOOLS,23351,"$23,351,000.00"
HAMILTON COMMUNITY SCHOOL DISTRICT,7107,"$7,107,000.00"
HAMILTON HEIGHTS SCHOOL CORPORATION,23282,"$23,282,000.00"
HAMILTON SOUTHEASTERN SCHOOLS,195448,"$195,448,000.00"
HAMMOND CITY SCHOOLS,177734,"$177,734,000.00"
HANOVER COMMUNITY SCHOOL CORPORATION,21911,"$21,911,000.00"
HIGHLAND SCHOOL TOWN,30483,"$30,483,000.00"
HOBART SCHOOLS,41118,"$41,118,000.00"
HUNTINGTON COUNTY COMMUNITY SCHOOL CORPORATION,51870,"$51,870,000.00"
INDIANAPOLIS PUBLIC SCHOOLS,431974,"$431,974,000.00"
JAC-CEN-DEL COMMUNITY SCHOOL CORPORATION,9997,"$9,997,000.00"
JAY COUNTY SCHOOL CORPORATION,39813,"$39,813,000.00"
JENNINGS COUNTY SCHOOL CORPORATN,58970,"$58,970,000.00"
JOHN GLENN SCHOOL CORPORATION,19376,"$19,376,000.00"
KANKAKEE VALEEY SCHOOL CORPORATN,35984,"$35,984,000.00"
KNOX COMMUNITY SCHOOL CORPORATION,20538,"$20,538,000.00"
KOKOMO CENTER TOWNSHIP CONSOLIDATED SCHOOL CORPORATION,79137,"$79,137,000.00"
LA PORTE COMMUNITY SCHOOL CORPORATION,79254,"$79,254,000.00"
LAFAYETTE CONSOLIDATED SCHOOL CORPORATION,103786,"$103,786,000.00"
LAKE CENTRAL SCHOOL CORPORATION,120434,"$120,434,000.00"
LAKE RIDGE SCHOOLS,23447,"$23,447,000.00"
LAKE STATION COMMUNITY SCHOOLS,14562,"$14,562,000.00"
LAKELAND SCHOOL CORPORATION,24477,"$24,477,000.00"
LANESVILLE COMMUNITY SCHOOL CORPORATION,6121,"$6,121,000.00"
LAWRENCE TOWNSHIP METROPOLITAN SCHOOL DISTRICT,168921,"$168,921,000.00"
LAWRENCEBURG COMMUNITY SCHOOL CORPORATION,22802,"$22,802,000.00"
LEBANON COMMUNITY SCHOOL CORPORATION,42936,"$42,936,000.00"
LIBERTY-PERRY CONSOLIDATED SCHOOL CORPORATION,11204,"$11,204,000.00"
LINTON-STOCKTON SCHOOL CORPORATION,12712,"$12,712,000.00"
LOGANSPORT COMMUNITY SCHOOL CORPORATION,51864,"$51,864,000.00"
LOOGOOTEE COMMUNITY SCHOOL CORPORATION,9207,"$9,207,000.00"
MACONAQUAH SCHOOL CORPORATION,22079,"$22,079,000.00"
MADISON CONSOLIDATED SCHOOLS,27879,"$27,879,000.00"
MADISON-GRANT UNITED SCHOOL CORPORATION,13383,"$13,383,000.00"
MANCHESTER  COMMUNITY SCHOOLS,16215,"$16,215,000.00"
MARION COMMUNITY SCHOOLS,53124,"$53,124,000.00"
MARTINSVILLE METROPOLITAN SCHOOL DISTRICT,48584,"$48,584,000.00"
MEDORA COMMUNITY SCHOOL CORPORATION,3223,"$3,223,000.00"
MICHIGAN CITY AREA SCHOOLS,67280,"$67,280,000.00"
MIDDLEBURY COMMUNITY SCHOOLS,42880,"$42,880,000.00"
MILAN CONSOLIDATED SCHOOL CORPORATION,12376,"$12,376,000.00"
MILL CREEK COMMUNITY SCHOOL CORPORATION,16373,"$16,373,000.00"
MISSISSINEWA COMMUNITY SCHOOL CORPORATION,24085,"$24,085,000.00"
MITCHELL COMMUNITY SCHOOLS,17854,"$17,854,000.00"
MONROE CENTRAL SCHOOL CORPORATION,10655,"$10,655,000.00"
MONROE COUNTY COMMUNITY SCHOOL CORPORATION,128327,"$128,327,000.00"
MONROE-GREGG SCHOOL DISTRICT,15289,"$15,289,000.00"
MOORESVILLE CONSOLIDATED SCHOOL CORPORATION,41243,"$41,243,000.00"
MT VERNON METROPOLITAN SCHOOL DISTRICT,29560,"$29,560,000.00"
MUNCIE COMMUNITY SCHOOLS,86682,"$86,682,000.00"
MUNSTER SCHOOL TOWN,41342,"$41,342,000.00"
NETTLE CREEK CONSOLIDATED SCHOOL CORPORATION,10043,"$10,043,000.00"
NEW CASTLE COMMUNITY SCHOOL CORPORATION,42933,"$42,933,000.00"
NEW PRAIRIE UNITED SCHOOL CORPORATION,30367,"$30,367,000.00"
NOBLESVILLE SCHOOLS,113106,"$113,106,000.00"
NORTH ADAMS COMMUNITY SCHOOL DISTRICT,23179,"$23,179,000.00"
NORTH CENTRAL PARKE COMMUNITY SCHOOL CORPORATION,14630,"$14,630,000.00"
NORTH DAVIESS COMMUNITY SCHOOL DISTRICT,12525,"$12,525,000.00"
NORTH GIBSON SCHOOL CORPORATION,28246,"$28,246,000.00"
NORTH HARRISON COMMUNITY SCHOOL CORPORATION,22372,"$22,372,000.00"
NORTH JUDSON-SAN PIERRE SCHOOL CORPORATION,13284,"$13,284,000.00"
NORTH KNOX SCHOOL CORPORATION,13951,"$13,951,000.00"
NORTH LAWRENCE COMMUNITY SCHOOLS,53180,"$53,180,000.00"
NORTH MIAMI COMMUNITY SCHOOLS,10146,"$10,146,000.00"
NORTH MONTGOMERY COMMUNITY SCHOOL CORPORATION,21409,"$21,409,000.00"
NORTH NEWTON SCHOOL CORPORATION,16844,"$16,844,000.00"
NORTH POSEY COUNTY SCHOOLS,15651,"$15,651,000.00"
NORTH PUTNAM COMMUNITY SCHOOLS,16270,"$16,270,000.00"
NORTH SPENCER COUNTY SCHOOL DISTRICT,19073,"$19,073,000.00"
NORTH VERMILLION COMMUNITY SCHOOL CORPORATION,8190,"$8,190,000.00"
NORTH WEST HENDRICKS SCHOOLS,17194,"$17,194,000.00"
NORTH WHITE COUNTY CONSOLIDATED SCHOOL CORPORATION,9418,"$9,418,000.00"
NORTHEAST DUBOIS COUNTY SCHOOL CORPORATION,9733,"$9,733,000.00"
NORTHEAST SCHOOL CORPORATION,,"$11,427,855.47 "
NORTHEASTERN WAYNE COUNTY SCHOOL DISTRICT,11580,"$11,580,000.00"
NORTHERN WELLS COUNTY COMMUNITY SCHOOL DISTRICT,23603,"$23,603,000.00"
NORTHWEST ALLEN COUNTY SCHOOLS,63002,"$63,002,000.00"
NORTHWESTERN SCHOOL CORPORATION,18599,"$18,599,000.00"
NORTHWESTRN CONSOLIDATED SCHOOL DISTRICT,13737,"$13,737,000.00"
OAK HILL UNITED SCHOOL CORPORATION,19806,"$19,806,000.00"
OREGON-DAVIS SCHOOL CORPORATION,8126,"$8,126,000.00"
ORLEANS COMMUNITY SCHOOLS,8707,"$8,707,000.00"
PAOLI COMMUNITY SCHOOL CORPORATION,16014,"$16,014,000.00"
PENN-HARRIS-MADISON SCHOOL CORPORATION,100188,"$100,188,000.00"
PERU COMMUNITY SCHOOLS,20810,"$20,810,000.00"
PIKE COUNTY COMMUNITY SCHOOLS,21032,"$21,032,000.00"
PIKE TOWNSHIP METROPOLITAN SCHOOL DISTRICT,152643,"$152,643,000.00"
PIONEER REGIONAL SCHOOL CORPORATION,9565,"$9,565,000.00"
PLAINFIELD COMMUNITY SCHOOL CORPORATION,48638,"$48,638,000.00"
PLYMOUTH COMMUNITY SCHOOLS CORPORATION,40291,"$40,291,000.00"
PORTAGE TOWNSHIP SCHOOLS,75647,"$75,647,000.00"
PORTER TOWNSHIP SCHOOL CORPORATN,13513,"$13,513,000.00"
PRAIRIE HEIGHTS COMMUNITY SCHOOL CORPORATION,17664,"$17,664,000.00"
RANDOLPH CENTRAL SCHOOL CORPORATION,17142,"$17,142,000.00"
RANDOLPH EASTERN SCHOOL CORPORATION,9607,"$9,607,000.00"
RANDOLPH SOUTHERN SCHOOL CORPORATION,5435,"$5,435,000.00"
RENSSELAER CTL SCHOOL CORPORATION,16873,"$16,873,000.00"
RICHLAND BEAN BLOSSOM COMMUNITY SCHOOL CORPORATION,27690,"$27,690,000.00"
RIVER FOREST COMMUNITY SCHOOL CORPORATION,15598,"$15,598,000.00"
ROCHESTER COMMUNITY SCHOOL CORPORATION,24376,"$24,376,000.00"
ROSSVILLE CONSOLIDATED SCHOOL DISTRICT,8906,"$8,906,000.00"
RUSHVILLE CONSOLIDATED SCHOOLS,27655,"$27,655,000.00"
SALEM COMMUNITY SCHOOL DISTRICT,21269,"$21,269,000.00"
SCHOOL CITY OF EAST CHICAGO,67305,"$67,305,000.00"
SCHOOL CITY OF MISHAWAKA,71539,"$71,539,000.00"
SCHOOL CITY WHITING,12809,"$12,809,000.00"
SCOTT COUNTY SCHOOL DISTRICT 1,14110,"$14,110,000.00"
SCOTT COUNTY SCHOOL DISTRICT 2,28803,"$28,803,000.00"
SEYMOUR COMMUNITY SCHOOLS,47067,"$47,067,000.00"
SHAKAMAK METROPOLITAN SCHOOL DISTRICT,7978,"$7,978,000.00"
SHELBY EASTERN SCHOOLS,13420,"$13,420,000.00"
SHELBYVILLE CENTRAL SCHOOL DISTRICT,39358,"$39,358,000.00"
SHENANDOAH SCHOOL CORPORATION,12194,"$12,194,000.00"
SHERIDAN COMMUNITY SCHOOLS,12488,"$12,488,000.00"
SHOALS COMMUNITY SCHOOL CORPORATION,6432,"$6,432,000.00"
SMITH-GREEN COMMUNITY SCHOOL DISTRICT,11351,"$11,351,000.00"
SOUTH ADAMS SCHOOL DISTRICT,15619,"$15,619,000.00"
SOUTH BEND COMMUNITY SCHOOL CORPORATION,225189,"$225,189,000.00"
SOUTH CENTRAL COMMUNITY SCHOOL CORPORATION,8592,"$8,592,000.00"
SOUTH DEARBORN COMMUNITY SCHOOL CORPORATION,26521,"$26,521,000.00"
SOUTH GIBSON SCHOOL CORPORATION,20870,"$20,870,000.00"
SOUTH HARRISON COMMUNITY SCHOOLS,,"$36,415,816.65 "
SOUTH HENRY SCHOOL CORPORATION,7484,"$7,484,000.00"
SOUTH KNOX SCHOOL CORPORATION,11867,"$11,867,000.00"
SOUTH MADISON COMMUNITY SCHOOL CORPORATION,41510,"$41,510,000.00"
SOUTH MONTGOMERY COMMUNITY SCHOOL CORPORATION,20562,"$20,562,000.00"
SOUTH NEWTON SCHOOL CORPORATION,10596,"$10,596,000.00"
SOUTH PUTNAM COMMUNITY SCHOOLS,11952,"$11,952,000.00"
SOUTH RIPLEY COMMUNITY SCHOOL CORPORATION,14761,"$14,761,000.00"
SOUTH SPENCER COUNTY SCHOOL DISTRICT,13591,"$13,591,000.00"
SOUTH VERMILLION COMMUNITY SCHOOL CORPORATION,20049,"$20,049,000.00"
SOUTHEAST DUBOIS COUNTY SCHOOL CORPORATION,13491,"$13,491,000.00"
SOUTHEAST FOUNTAIN COUNTY SCHOOL CORPORATION,12158,"$12,158,000.00"
SOUTHERN HANCOCK COUNTY COMMUNITY SCHOOL CORPORATION,29444,"$29,444,000.00"
SOUTHERN WELLS COUNTY COMMUNITY SCHOOL DISTRICT,8513,"$8,513,000.00"
SOUTHWEST DUBOIS COUNTY SCHOOL CORPORATION,18623,"$18,623,000.00"
SOUTHWEST PARKE COMMUNITY SCHOOL CORPORATION,10809,"$10,809,000.00"
SOUTHWEST SCHOOL CORPORATION,,"$20,839,587.13 "
SPENCER-OWEN COMMUNITY SCHOOLS,27579,"$27,579,000.00"
SPRING VALLEY SCHOOL CORPORATION,9788,"$9,788,000.00"
STEUBEN COUNTY METROPOLITAN SCHOOL DISTRICT,29401,"$29,401,000.00"
SUNMAN-DEARBORN COMMUNITY CORPORATION SCHOOL DISTRICT,39583,"$39,583,000.00"
SWITZERLAND COUNTY SCHOOL CORPORATION,17672,"$17,672,000.00"
TAYLOR COMMUNITY SCHOOL CORPORATION,12910,"$12,910,000.00"
TIPPECANOE SCHOOL CORPORATION,144233,"$144,233,000.00"
TIPPECANOE VALLEY SCHOOL CORPORATION,21398,"$21,398,000.00"
TIPTON COMMUNITY SCHOOL CORPORATION,16614,"$16,614,000.00"
TRI COUNTY CONSOLIDATED SCHOOL CORPORATION,10724,"$10,724,000.00"
TRI CREEK SCHOOL CORPORATION,41326,"$41,326,000.00"
TRITON SCHOOL CORPORATION,9568,"$9,568,000.00"
TWIN LAKES CONSOLIDATED SCHOOL CORPORATION,25537,"$25,537,000.00"
UNION SCHOOL CORPORATION,4239,"$4,239,000.00"
UNION TOWNSHIP SCHOOL CORPORATION,15386,"$15,386,000.00"
UNION-NORTH UNITED SCHOOL CORPORATION,11389,"$11,389,000.00"
VALPARAISO COMMUNITY SCHOOLS,60503,"$60,503,000.00"
VIGO COUNTY SCHOOL CORPORATION,160262,"$160,262,000.00"
VINCENNES COMMUNITY SCHOOL CORPORATION,30233,"$30,233,000.00"
WA NEE COMMUNITY SCHOOL DISTRICT,31209,"$31,209,000.00"
WABASH CITY SCHOOLS,15788,"$15,788,000.00"
WABASH COUNTY METROPOLITAN SCHOOL DISTRICT,28014,"$28,014,000.00"
WARREN COUNTY METROPOLITAN SCHOOL DISTRICT,13016,"$13,016,000.00"
WARREN TOWNSHIP METROPOLITAN SCHOOL DISTRICT,137302,"$137,302,000.00"
WARRICK COUNTY SCHOOL CORPORATION,102036,"$102,036,000.00"
WARSAW COMMUNITY SCHOOLS,79054,"$79,054,000.00"
WASHINGTON COMMUNITY SCHOOL INC,25327,"$25,327,000.00"
WAWASEE COMMUNITY SCHOOL CORPORATION,34992,"$34,992,000.00"
WAYNE TOWNSHIP METROPOLITAN SCHOOL DISTRICT,210332,"$210,332,000.00"
WES-DEL COMMUNITY SCHOOLS,9543,"$9,543,000.00"
WEST CENTRAL SCHOOL CORPORATION,13605,"$13,605,000.00"
WEST CLARK COMMUNITY SCHOOL DISTRICT,45998,"$45,998,000.00"
WEST LAFAYETTE COMMUNITY SCHOOL CORPORATION,27939,"$27,939,000.00"
WEST NOBLE SCHOOL CORPORATION,27209,"$27,209,000.00"
WEST WASHINGTON SCHOOL CORPORATION,9841,"$9,841,000.00"
WESTERN SCHOOL CORPORATION,28229,"$28,229,000.00"
WESTERN WAYNE SCHOOLS,10307,"$10,307,000.00"
WESTFIELD-WASHINGTON SCHOOLS,78888,"$78,888,000.00"
WESTVIEW SCHOOL CORPORATION,26341,"$26,341,000.00"
WHITE RIVER VALLEY SCHOOL DISTRICT,9081,"$9,081,000.00"
WHITKO COMMUNITY SCHOOL CORPORATION,25184,"$25,184,000.00"
WHITLEY COUNTY CONSOLIDATED SCHOOLS,32736,"$32,736,000.00"
ZIONSVILLE COMMUNITY SCHOOLS,71622,"$71,622,000.00"
