Corp Id,CORPORATION NAME,Cohort N,Grad N,State Grad Rate,Non-Waiver Grad N,State Non-Waiver Grad Rate
4925,Michigan City Area Schools,371,333,89.80%,295,79.50%
2275,Middlebury Community Schools,305,278,91.10%,271,88.90%
6910,Milan Community Schools,105,99,94.30%,88,83.80%
3335,Mill Creek Community School Corporation,106,105,99.10%,104,98.10%
2855,Mississinewa Community School Corporation,173,169,97.70%,152,87.90%
5085,Mitchell Community Schools,134,119,88.80%,107,79.90%
6820,Monroe Central School Corporation,80,80,100.00%,76,95.00%
5740,Monroe County Community School Corporation,796,756,95.00%,712,89.40%
5900,Monroe-Gregg School District,103,85,82.50%,79,76.70%
5930,Mooresville Consolidated School Corporation,282,274,97.20%,250,88.70%
6590,Mount Vernon Metropolitan School District,180,163,90.60%,144,80.00%
1970,Muncie Community Schools,318,279,87.70%,255,80.20%
8305,Nettle Creek School Corporation,86,78,90.70%,69,80.20%
3445,New Castle Community School Corporation,259,239,92.30%,208,80.30%
4805,New Prairie United School Corporation,232,217,93.50%,207,89.20%
3070,Noblesville Schools,632,596,94.30%,572,90.50%
25,North Adams Community Schools,162,149,92.00%,144,88.90%
6375,North Central Parke Community School Corporation,95,82,86.30%,77,81.10%
1375,North Daviess Community Schools,67,65,97.00%,62,92.50%
2735,North Gibson School Corporation,121,114,94.20%,106,87.60%
3180,North Harrison Community School Corporation,160,153,95.60%,145,90.60%
7515,North Judson-San Pierre School Corporation,109,100,91.70%,86,78.90%
4315,North Knox School Corporation,101,100,99.00%,91,90.10%
5075,North Lawrence Community Schools,358,313,87.40%,302,84.40%
5620,North Miami Community Schools,83,70,84.30%,68,81.90%
5835,North Montgomery Community School Corporation,147,146,99.30%,136,92.50%
5945,North Newton School Corporation,117,109,93.20%,106,90.60%
6600,North Posey County Schools Metropolitan School District,112,109,97.30%,108,96.40%
6715,North Putnam Community Schools,121,110,90.90%,107,88.40%
7385,North Spencer County School Corporation,137,136,99.30%,134,97.80%
8010,North Vermillion Community School Corporation,47,40,85.10%,30,63.80%
3295,North West Hendricks Schools,147,142,96.60%,137,93.20%
8515,North White School Corporation,62,55,88.70%,51,82.30%
2040,Northeast Dubois County School Corporation,75,73,97.30%,71,94.70%
7645,Northeast School Corporation,76,62,81.60%,60,78.90%
8375,Northeastern Wayne Schools,97,91,93.80%,88,90.70%
8435,Northern Wells Community Schools,187,176,94.10%,162,86.60%
225,Northwest Allen County Schools,516,497,96.30%,495,95.90%
7350,Northwestern Consolidated School Corporation,105,101,96.20%,97,92.40%
3470,Northwestern School Corporation,145,143,98.60%,142,97.90%
5625,Oak Hill United School Corporation,108,103,95.40%,103,95.40%
7495,Oregon-Davis School Corporation,46,41,89.10%,41,89.10%
6145,Orleans Community Schools,62,60,96.80%,60,96.80%
6155,Paoli Community School Corporation,126,96,76.20%,86,68.30%
7175,Penn-Harris-Madison School Corporation,823,804,97.70%,761,92.50%
5635,Peru Community Schools,141,137,97.20%,122,86.50%
6445,Pike County School Corporation,127,118,92.90%,111,87.40%
5350,Pike Township Metropolitan School District,704,662,94.00%,609,86.50%
775,Pioneer Regional School Corporation,54,45,83.30%,43,79.60%
3330,Plainfield Community School Corporation,366,356,97.30%,355,97.00%
5485,Plymouth Community School Corporation,283,257,90.80%,245,86.60%
6550,Portage Township Schools,602,529,87.90%,501,83.20%
6520,Porter Township School Corporation,117,113,96.60%,113,96.60%
4515,Prairie Heights Community School Corporation,124,115,92.70%,113,91.10%
6825,Randolph Central School Corporation,108,95,88.00%,87,80.60%
6835,Randolph Eastern School Corporation,61,58,95.10%,52,85.20%
6805,Randolph Southern School Corporation,45,43,95.60%,40,88.90%
3815,Rensselaer Central School Corporation,131,119,90.80%,111,84.70%
5705,Richland-Bean Blossom Community School Corporation,194,182,93.80%,176,90.70%
4590,River Forest Community School Corporation,76,61,80.30%,56,73.70%
2645,Rochester Community School Corporation,121,116,95.90%,109,90.10%
1180,Rossville Consolidated School District,76,71,93.40%,69,90.80%
6995,Rush County Schools,173,164,94.80%,155,89.60%
8205,Salem Community Schools,139,132,95.00%,113,81.30%
4670,School City of East Chicago,225,158,70.20%,144,64.00%
4710,School City of Hammond,908,739,81.40%,659,72.60%
4730,School City of Hobart,284,262,92.30%,224,78.90%
7200,School City of Mishawaka,354,329,92.90%,297,83.90%
4760,School City of Whiting,95,85,89.50%,84,88.40%
4720,School Town of Highland,293,280,95.60%,271,92.50%
4740,School Town of Munster,396,382,96.50%,377,95.20%
7230,Scott County School District 1,104,92,88.50%,88,84.60%
7255,Scott County School District 2,194,166,85.60%,154,79.40%
3675,Seymour Community Schools,307,292,95.10%,258,84.00%
2960,Shakamak Schools Metropolitan School District,60,57,95.00%,55,91.70%
7285,Shelby Eastern Schools,90,86,95.60%,84,93.30%
7365,Shelbyville Central Schools,256,246,96.10%,229,89.50%
3435,Shenandoah School Corporation,100,86,86.00%,84,84.00%
3055,Sheridan Community Schools,85,83,97.60%,76,89.40%
5520,Shoals Community School Corporation,44,39,88.60%,37,84.10%
8625,Smith-Green Community Schools,86,83,96.50%,82,95.30%
35,South Adams Schools,88,83,94.30%,78,88.60%
7205,South Bend Community School Corporation,1253,1042,83.20%,913,72.90%
4940,South Central Community School Corporation,87,82,94.30%,80,92.00%
1600,South Dearborn Community School Corporation,204,184,90.20%,171,83.80%
2765,South Gibson School Corporation,161,150,93.20%,145,90.10%
3190,South Harrison Community Schools,219,207,94.50%,192,87.70%
3415,South Henry School Corporation,67,66,98.50%,62,92.50%
4325,South Knox School Corporation,82,80,97.60%,79,96.30%
5255,South Madison Community School Corporation,339,305,90.00%,290,85.50%
5845,South Montgomery Community School Corporation,117,114,97.40%,109,93.20%
5995,South Newton School Corporation,59,53,89.80%,52,88.10%
6705,South Putnam Community Schools,91,90,98.90%,85,93.40%
6865,South Ripley Community School Corporation,100,85,85.00%,80,80.00%
7445,South Spencer County School Corporation,104,93,89.40%,90,86.50%
8020,South Vermillion Community School Corporation,130,118,90.80%,115,88.50%
2100,Southeast Dubois County School Corporation,95,92,96.80%,88,92.60%
2455,Southeast Fountain School Corporation,92,85,92.40%,74,80.40%
3115,Southern Hancock County Community School Corporation,250,243,97.20%,241,96.40%
8425,Southern Wells Community Schools,77,72,93.50%,67,87.00%
2110,Southwest Dubois County School Corporation,137,123,89.80%,114,83.20%
6260,Southwest Parke Community School Corporation,79,67,84.80%,65,82.30%
7715,Southwest School Corporation,148,135,91.20%,132,89.20%
6195,Spencer-Owen Community Schools,173,161,93.10%,148,85.50%
6160,Springs Valley Community School Corporation,77,67,87.00%,64,83.10%
7615,Steuben County Metropolitan School District,190,159,83.70%,139,73.20%
1560,Sunman-Dearborn Community School Corporation,300,282,94.00%,272,90.70%
7775,Switzerland County School Corporation,106,102,96.20%,92,86.80%
3460,Taylor Community School Corporation,106,88,83.00%,85,80.20%
7865,Tippecanoe School Corporation,783,735,93.90%,672,85.80%
4445,Tippecanoe Valley School Corporation,156,144,92.30%,136,87.20%
7945,Tipton Community School Corporation,120,117,97.50%,103,85.80%
8535,Tri-County School Corporation,54,50,92.60%,45,83.30%
4645,Tri-Creek School Corporation,305,303,99.30%,288,94.40%
5495,Triton School Corporation,81,73,90.10%,72,88.90%
8565,Twin Lakes School Corporation,160,134,83.80%,118,73.80%
6795,Union School Corporation,38,35,92.10%,27,71.10%
6530,Union Township School Corporation,129,122,94.60%,117,90.70%
7215,Union-North United School Corporation,85,78,91.80%,74,87.10%
6560,Valparaiso Community Schools,537,519,96.60%,508,94.60%
8030,Vigo County School Corporation,986,905,91.80%,855,86.70%
4335,Vincennes Community School Corporation,194,186,95.90%,164,84.50%
2285,Wa-Nee Community Schools,201,181,90.00%,171,85.10%
8060,Wabash City Schools,101,95,94.10%,83,82.20%
8050,Wabash County Schools Metropolitan School District,198,182,91.90%,154,77.80%
8115,Warren County Metropolitan School District,92,90,97.80%,87,94.60%
5360,Warren Township Metropolitan School District,849,766,90.20%,689,81.20%
8130,Warrick County School Corporation,758,685,90.40%,639,84.30%
4415,Warsaw Community Schools,522,477,91.40%,441,84.50%
5370,Washington Township Metropolitan School District,835,713,85.40%,652,78.10%
4345,Wawasee Community School Corporation,222,199,89.60%,192,86.50%
5375,Wayne Township Metropolitan School District,1081,926,85.70%,803,74.30%
1885,Wes-Del Community Schools,67,63,94.00%,62,92.50%
6630,West Central School Corporation,68,62,91.20%,58,85.30%
940,West Clark Community Schools,356,329,92.40%,305,85.70%
7875,West Lafayette Community School Corporation,158,153,96.80%,153,96.80%
6065,West Noble School Corporation,172,149,86.60%,141,82.00%
8220,West Washington School Corporation,67,60,89.60%,59,88.10%
3490,Western School Corporation,185,179,96.80%,170,91.90%
8355,Western Wayne Schools,75,61,81.30%,53,70.70%
3030,Westfield-Washington Schools,434,426,98.20%,420,96.80%
4525,Westview School Corporation,87,81,93.10%,78,89.70%
2980,White River Valley School District,63,57,90.50%,53,84.10%
4455,Whitko Community School Corporation,145,134,92.40%,129,89.00%
8665,Whitley County Consolidated Schools,240,228,95.00%,215,89.60%
630,Zionsville Community Schools,419,411,98.10%,407,97.10%
