NAME,TOTALEXP,TOTAL EXP $
EAST WASHINGTON SCHOOL CORPORATION,16116,"$16,116,000.00"
EASTBROOK COMMUNITY SCHOOL CORPORATION,14707,"$14,707,000.00"
EASTERN GREENE SCHOOLS,11950,"$11,950,000.00"
EASTERN HANCOCK COUNTY COMMUNITY SCHOOL CORPORATION,12412,"$12,412,000.00"
EASTERN PULASKI COMMUNITY SCHOOL CORPORATION,17473,"$17,473,000.00"
EASTERN-HOWARD COMMUNITY SCHOOL CORPORATION,13785,"$13,785,000.00"
EDINBURGH COMMUNITY SCHOOL CORPORATION,8674,"$8,674,000.00"
ELKHART COMMUNITY SCHOOLS,163903,"$163,903,000.00"
ELWOOD COMMUNITY SCHOOL CORPORATION,17282,"$17,282,000.00"
EMINENCE CONSOLIDATED SCHOOL CORPORATION,4478,"$4,478,000.00"
EVANSVILLE-VANDERBURGH SCHOOL CORPORATION,282531,"$282,531,000.00"
FAIRFIELD COMMUNITY SCHOOLS,21820,"$21,820,000.00"
FAYETTE COUNTY CONSOLIDATED SCHOOL CORPORATION,43458,"$43,458,000.00"
FLAT ROCK HAWCREEK SCHOOL CORPORATION,8558,"$8,558,000.00"
FORT WAYNE COMMUNITY SCHOOLS,371979,"$371,979,000.00"
FRANKFORT COMMUNITY SCHOOL DISTRICT,32854,"$32,854,000.00"
FRANKLIN COMMUNITY SCHOOL CORPORATION,55296,"$55,296,000.00"
FRANKLIN COUNTY COMMUNITY SCHOOL CORPORATION,28894,"$28,894,000.00"
FRANKLIN TOWNSHIP COMMUNITY SCHOOL CORPORATION,92982,"$92,982,000.00"
FRANKTON LAPEL COMMUNITY SCHOOL DISTRICT,25143,"$25,143,000.00"
FREMONT COMMUNITY SCHOOLS,15121,"$15,121,000.00"
FRONTIER CONSOLIDATED SCHOOL CORPORATION,7976,"$7,976,000.00"
GARRETT-KEYSER-BUTLER COMMUNITY SCHOOL CORPORATION,20930,"$20,930,000.00"
GARY COMMUNITY SCHOOL CORPORATION,72287,"$72,287,000.00"
GOSHEN COMMUNITY SCHOOLS,109878,"$109,878,000.00"
GREATER CLARK COUNTY SCHOOL DISTRICT,117774,"$117,774,000.00"
GREATER JASPER CONSOLIDATED SCHOOLS,40447,"$40,447,000.00"
GREENCASTLE COMMUNITY SCHOOLS,22118,"$22,118,000.00"
GREENFIELD-CENTRAL COMMUNITY SCHOOLS,48715,"$48,715,000.00"
GREENSBURG COMMUNITY SCHOOLS,24290,"$24,290,000.00"
GREENWOOD COMMUNITY SCHOOL CORPORATION,36758,"$36,758,000.00"
GRIFFITH PUBLIC SCHOOLS,23749,"$23,749,000.00"
HAMILTON COMMUNITY SCHOOL DISTRICT,6252,"$6,252,000.00"
HAMILTON HEIGHTS SCHOOL CORPORATION,24646,"$24,646,000.00"
HAMILTON SOUTHEASTERN SCHOOLS,227854,"$227,854,000.00"
HAMMOND CITY SCHOOLS,165733,"$165,733,000.00"
HANOVER COMMUNITY SCHOOL CORPORATION,21980,"$21,980,000.00"
HIGHLAND SCHOOL TOWN,33378,"$33,378,000.00"
HOBART SCHOOLS,42188,"$42,188,000.00"
HUNTINGTON COUNTY COMMUNITY SCHOOL CORPORATION,55931,"$55,931,000.00"
INDIANAPOLIS PUBLIC SCHOOLS,478218,"$478,218,000.00"
JAC-CEN-DEL COMMUNITY SCHOOL CORPORATION,10034,"$10,034,000.00"
JAY COUNTY SCHOOL CORPORATION,39961,"$39,961,000.00"
JENNINGS COUNTY SCHOOL CORPORATN,49497,"$49,497,000.00"
JOHN GLENN SCHOOL CORPORATION,19137,"$19,137,000.00"
KANKAKEE VALEEY SCHOOL CORPORATN,35755,"$35,755,000.00"
KNOX COMMUNITY SCHOOL CORPORATION,20094,"$20,094,000.00"
KOKOMO CENTER TOWNSHIP CONSOLIDATED SCHOOL CORPORATION,85160,"$85,160,000.00"
LA PORTE COMMUNITY SCHOOL CORPORATION,77911,"$77,911,000.00"
LAFAYETTE CONSOLIDATED SCHOOL CORPORATION,115071,"$115,071,000.00"
LAKE CENTRAL SCHOOL CORPORATION,114910,"$114,910,000.00"
LAKE RIDGE SCHOOLS,25460,"$25,460,000.00"
LAKE STATION COMMUNITY SCHOOLS,13016,"$13,016,000.00"
LAKELAND SCHOOL CORPORATION,21960,"$21,960,000.00"
LANESVILLE COMMUNITY SCHOOL CORPORATION,6407,"$6,407,000.00"
LAWRENCE TOWNSHIP METROPOLITAN SCHOOL DISTRICT,225022,"$225,022,000.00"
LAWRENCEBURG COMMUNITY SCHOOL CORPORATION,22096,"$22,096,000.00"
LEBANON COMMUNITY SCHOOL CORPORATION,41695,"$41,695,000.00"
LIBERTY-PERRY CONSOLIDATED SCHOOL CORPORATION,11925,"$11,925,000.00"
LINTON-STOCKTON SCHOOL CORPORATION,16565,"$16,565,000.00"
LOGANSPORT COMMUNITY SCHOOL CORPORATION,53323,"$53,323,000.00"
LOOGOOTEE COMMUNITY SCHOOL CORPORATION,9787,"$9,787,000.00"
MACONAQUAH SCHOOL CORPORATION,23964,"$23,964,000.00"
MADISON CONSOLIDATED SCHOOLS,33409,"$33,409,000.00"
MADISON-GRANT UNITED SCHOOL CORPORATION,13572,"$13,572,000.00"
MANCHESTER COMMUNITY SCHOOLS,15605,"$15,605,000.00"
MARION COMMUNITY SCHOOLS,50367,"$50,367,000.00"
MARTINSVILLE METROPOLITAN SCHOOL DISTRICT,51649,"$51,649,000.00"
MEDORA COMMUNITY SCHOOL CORPORATION,3130,"$3,130,000.00"
MICHIGAN CITY AREA SCHOOLS,69709,"$69,709,000.00"
MIDDLEBURY COMMUNITY SCHOOLS,45872,"$45,872,000.00"
MILAN COMMUNITY SCHOOL CORPORATION,12993,"$12,993,000.00"
MILL CREEK COMMUNITY SCHOOL CORPORATION,15434,"$15,434,000.00"
MISSISSINEWA COMMUNITY SCHOOL CORPORATION,28144,"$28,144,000.00"
MITCHELL COMMUNITY SCHOOLS,16922,"$16,922,000.00"
MONROE CENTRAL SCHOOL CORPORATION,11377,"$11,377,000.00"
MONROE COUNTY COMMUNITY SCHOOL CORPORATION,135372,"$135,372,000.00"
MONROE-GREGG SCHOOL DISTRICT,16071,"$16,071,000.00"
MOORESVILLE CONSOLIDATED SCHOOL CORPORATION,44335,"$44,335,000.00"
MT VERNON METROPOLITAN SCHOOL DISTRICT,28584,"$28,584,000.00"
MUNCIE COMMUNITY SCHOOLS,86848,"$86,848,000.00"
MUNSTER SCHOOL TOWN,40389,"$40,389,000.00"
NETTLE CREEK CONSOLIDATED SCHOOL CORPORATION,11262,"$11,262,000.00"
NEW CASTLE COMMUNITY SCHOOL CORPORATION,42262,"$42,262,000.00"
NEW PRAIRIE UNITED SCHOOL CORPORATION,31898,"$31,898,000.00"
NOBLESVILLE SCHOOLS,111921,"$111,921,000.00"
NORTH ADAMS COMMUNITY SCHOOL DISTRICT,23917,"$23,917,000.00"
NORTH CENTRAL PARKE COMMUNITY SCHOOL CORPORATION,14786,"$14,786,000.00"
NORTH DAVIESS COMMUNITY SCHOOL DISTRICT,12904,"$12,904,000.00"
NORTH GIBSON SCHOOL CORPORATION,25580,"$25,580,000.00"
NORTH HARRISON COMMUNITY SCHOOL CORPORATION,23871,"$23,871,000.00"
NORTH JUDSON-SAN PIERRE SCHOOL CORPORATION,11342,"$11,342,000.00"
NORTH KNOX SCHOOL CORPORATION,15015,"$15,015,000.00"
NORTH LAWRENCE COMMUNITY SCHOOLS,55119,"$55,119,000.00"
NORTH MIAMI COMMUNITY SCHOOLS,9094,"$9,094,000.00"
NORTH MONTGOMERY COMMUNITY SCHOOL CORPORATION,21681,"$21,681,000.00"
NORTH NEWTON SCHOOL CORPORATION,17503,"$17,503,000.00"
NORTH POSEY COUNTY SCHOOLS,15344,"$15,344,000.00"
NORTH PUTNAM COMMUNITY SCHOOLS,15190,"$15,190,000.00"
NORTH SPENCER COUNTY SCHOOL DISTRICT,20253,"$20,253,000.00"
NORTH VERMILLION COMMUNITY SCHOOL CORPORATION,7881,"$7,881,000.00"
NORTH WEST HENDRICKS SCHOOLS,20518,"$20,518,000.00"
NORTH WHITE COUNTY CONSOLIDATED SCHOOL CORPORATION,11092,"$11,092,000.00"
NORTHEAST SCHOOL CORPORATION,,"$10,151,490.89 "
NORTHEAST DUBOIS COUNTY SCHOOL CORPORATION,10013,"$10,013,000.00"
NORTHEASTERN WAYNE COUNTY SCHOOL DISTRICT,12827,"$12,827,000.00"
NORTHERN WELLS COUNTY COMMUNITY SCHOOL DISTRICT,23987,"$23,987,000.00"
NORTHWEST ALLEN COUNTY SCHOOLS,68177,"$68,177,000.00"
NORTHWESTERN SCHOOL CORPORATION,18920,"$18,920,000.00"
NORTHWESTRN CONSOLIDATED SCHOOL DISTRICT,14723,"$14,723,000.00"
OAK HILL UNITED SCHOOL CORPORATION,19714,"$19,714,000.00"
OREGON-DAVIS SCHOOL CORPORATION,7075,"$7,075,000.00"
ORLEANS COMMUNITY SCHOOLS,8681,"$8,681,000.00"
PAOLI COMMUNITY SCHOOL CORPORATION,16241,"$16,241,000.00"
PENN-HARRIS-MADISON SCHOOL CORPORATION,109503,"$109,503,000.00"
PERU COMMUNITY SCHOOLS,21944,"$21,944,000.00"
PIKE COUNTY COMMUNITY SCHOOLS,19768,"$19,768,000.00"
PIKE TOWNSHIP METROPOLITAN SCHOOL DISTRICT,146465,"$146,465,000.00"
PIONEER REGIONAL SCHOOL CORPORATION,9979,"$9,979,000.00"
PLAINFIELD COMMUNITY SCHOOL CORPORATION,60268,"$60,268,000.00"
PLYMOUTH COMMUNITY SCHOOLS CORPORATION,40033,"$40,033,000.00"
PORTAGE TOWNSHIP SCHOOLS,80799,"$80,799,000.00"
PORTER TOWNSHIP SCHOOL CORPORATN,16613,"$16,613,000.00"
PRAIRIE HEIGHTS COMMUNITY SCHOOL CORPORATION,16512,"$16,512,000.00"
RANDOLPH CENTRAL SCHOOL CORPORATION,16189,"$16,189,000.00"
RANDOLPH EASTERN SCHOOL CORPORATION,9501,"$9,501,000.00"
RANDOLPH SOUTHERN SCHOOL CORPORATION,6508,"$6,508,000.00"
RENSSELAER CTL SCHOOL CORPORATION,22528,"$22,528,000.00"
RICHLAND BEAN BLOSSOM COMMUNITY SCHOOL CORPORATION,31453,"$31,453,000.00"
RIVER FOREST COMMUNITY SCHOOL CORPORATION,17849,"$17,849,000.00"
ROCHESTER COMMUNITY SCHOOL CORPORATION,25060,"$25,060,000.00"
ROSSVILLE CONSOLIDATED SCHOOL DISTRICT,9042,"$9,042,000.00"
RUSHVILLE CONSOLIDATED SCHOOLS,24331,"$24,331,000.00"
SALEM COMMUNITY SCHOOL DISTRICT,21886,"$21,886,000.00"
SCHOOL CITY OF EAST CHICAGO,61048,"$61,048,000.00"
SCHOOL CITY OF MISHAWAKA,57748,"$57,748,000.00"
SCHOOL CITY OF WHITING,,"$13,436,495.75 "
SCOTT COUNTY SCHOOL DISTRICT 1,13500,"$13,500,000.00"
SCOTT COUNTY SCHOOL DISTRICT 2,29635,"$29,635,000.00"
SEYMOUR COMMUNITY SCHOOLS,53790,"$53,790,000.00"
SHAKAMAK METROPOLITAN SCHOOL DISTRICT,8040,"$8,040,000.00"
SHELBY EASTERN SCHOOLS,13225,"$13,225,000.00"
SHELBYVILLE CENTRAL SCHOOL DISTRICT,41255,"$41,255,000.00"
SHENANDOAH SCHOOL CORPORATION,13211,"$13,211,000.00"
SHERIDAN COMMUNITY SCHOOLS,13030,"$13,030,000.00"
SHOALS COMMUNITY SCHOOL CORPORATION,6349,"$6,349,000.00"
SMITH-GREEN COMMUNITY SCHOOL DISTRICT,12203,"$12,203,000.00"
SOUTH ADAMS SCHOOL DISTRICT,15190,"$15,190,000.00"
SOUTH BEND COMMUNITY SCHOOL CORPORATION,222746,"$222,746,000.00"
SOUTH CENTRAL COMMUNITY SCHOOL CORPORATION,10702,"$10,702,000.00"
SOUTH DEARBORN COMMUNITY SCHOOL CORPORATION,28404,"$28,404,000.00"
SOUTH GIBSON SCHOOL CORPORATION,23530,"$23,530,000.00"
SOUTH HARRISON COMMUNITY SCHOOLS,,"$35,880,457.36 "
SOUTH HENRY SCHOOL CORPORATION,8745,"$8,745,000.00"
SOUTH KNOX SCHOOL CORPORATION,12689,"$12,689,000.00"
SOUTH MADISON COMMUNITY SCHOOL CORPORATION,44262,"$44,262,000.00"
SOUTH MONTGOMERY COMMUNITY SCHOOL CORPORATION,19372,"$19,372,000.00"
SOUTH NEWTON SCHOOL CORPORATION,10902,"$10,902,000.00"
SOUTH PUTNAM COMMUNITY SCHOOLS,12229,"$12,229,000.00"
SOUTH RIPLEY COMMUNITY SCHOOL CORPORATION,14601,"$14,601,000.00"
SOUTH SPENCER COUNTY SCHOOL DISTRICT,14512,"$14,512,000.00"
SOUTH VERMILLION COMMUNITY SCHOOL CORPORATION,25731,"$25,731,000.00"
SOUTHEAST DUBOIS COUNTY SCHOOL CORPORATION,13853,"$13,853,000.00"
SOUTHEAST FOUNTAIN COUNTY SCHOOL CORPORATION,12159,"$12,159,000.00"
SOUTHERN HANCOCK COUNTY COMMUNITY SCHOOL CORP,,"$35,601,663.09 "
SOUTHERN WELLS COUNTY COMMUNITY SCHOOL DISTRICT,8741,"$8,741,000.00"
SOUTHWEST DUBOIS COUNTY SCHOOL CORPORATION,18571,"$18,571,000.00"
SOUTHWEST PARKE COMMUNITY SCHOOL CORPORATION,10878,"$10,878,000.00"
SOUTHWEST SCHOOL CORPORATION,,"$21,130,172.86 "
SPENCER-OWEN COMMUNITY SCHOOLS,28437,"$28,437,000.00"
SPRING VALLEY SCHOOL CORPORATION,10979,"$10,979,000.00"
STEUBEN COUNTY METROPOLITAN SCHOOL DISTRICT,30509,"$30,509,000.00"
SUNMAN-DEARBORN COMMUNITY CORPORATION SCHOOL DISTRICT,39286,"$39,286,000.00"
SWITZERLAND COUNTY SCHOOL CORPORATION,18358,"$18,358,000.00"
TAYLOR COMMUNITY SCHOOL CORPORATION,12811,"$12,811,000.00"
TIPPECANOE SCHOOL CORPORATION,134886,"$134,886,000.00"
TIPPECANOE VALLEY SCHOOL CORPORATION,21901,"$21,901,000.00"
TIPTON COMMUNITY SCHOOL CORPORATION,20360,"$20,360,000.00"
TRI COUNTY CONSOLIDATED SCHOOL CORPORATION,11102,"$11,102,000.00"
TRI CREEK SCHOOL CORPORATION,46243,"$46,243,000.00"
TRITON SCHOOL CORPORATION,9243,"$9,243,000.00"
TWIN LAKES CONSOLIDATED SCHOOL CORPORATION,24813,"$24,813,000.00"
UNION SCHOOL CORPORATION,4107,"$4,107,000.00"
UNION TOWNSHIP SCHOOL CORPORATION,16255,"$16,255,000.00"
UNION-NORTH UNITED SCHOOL CORPORATION,12479,"$12,479,000.00"
VALPARAISO COMMUNITY SCHOOLS,67742,"$67,742,000.00"
VIGO COUNTY SCHOOL CORPORATION,157202,"$157,202,000.00"
VINCENNES COMMUNITY SCHOOL CORPORATION,39256,"$39,256,000.00"
WA NEE COMMUNITY SCHOOL DISTRICT,32189,"$32,189,000.00"
WABASH CITY SCHOOLS,15424,"$15,424,000.00"
WABASH COUNTY METROPOLITAN SCHOOL DISTRICT,23399,"$23,399,000.00"
WARREN COUNTY METROPOLITAN SCHOOL DISTRICT,15071,"$15,071,000.00"
WARREN TOWNSHIP METROPOLITAN SCHOOL DISTRICT,147884,"$147,884,000.00"
WARRICK COUNTY SCHOOL CORPORATION,110902,"$110,902,000.00"
WARSAW COMMUNITY SCHOOLS,85528,"$85,528,000.00"
WASHINGTON COMMUNITY SCHOOL INC,27057,"$27,057,000.00"
WAWASEE COMMUNITY SCHOOL CORPORATION,41140,"$41,140,000.00"
WAYNE TOWNSHIP METROPOLITAN SCHOOL DISTRICT,216123,"$216,123,000.00"
WES-DEL COMMUNITY SCHOOLS,8899,"$8,899,000.00"
WEST CENTRAL SCHOOL CORPORATION,11088,"$11,088,000.00"
WEST CLARK COMMUNITY SCHOOL DISTRICT,48870,"$48,870,000.00"
WEST LAFAYETTE COMMUNITY SCHOOL CORPORATION,28889,"$28,889,000.00"
WEST NOBLE SCHOOL CORPORATION,25970,"$25,970,000.00"
WEST WASHINGTON SCHOOL CORPORATION,9466,"$9,466,000.00"
WESTERN BOONE COUNTY COMMUNITY SCHOOL CORPORATION,20633,"$20,633,000.00"
WESTERN WAYNE SCHOOLS,11113,"$11,113,000.00"
WESTFIELD-WASHINGTON SCHOOLS,85689,"$85,689,000.00"
WESTVIEW SCHOOL CORPORATION,25835,"$25,835,000.00"
WHITE RIVER VALLEY SCHOOL DISTRICT,10143,"$10,143,000.00"
WHITKO COMMUNITY SCHOOL CORPORATION,18147,"$18,147,000.00"
WHITLEY COUNTY CONSOLIDATED SCHOOLS,34100,"$34,100,000.00"
ZIONSVILLE COMMUNITY SCHOOLS,73522,"$73,522,000.00"
